Position	ENSG.ID	Gene.type	Gene.name	Chromosome	ENSP.ID	enr	idx_ROC
205	ENSG00000086730	protein_coding	LAT2	7	ENSP00000420494	38	167
206	ENSG00000182326	protein_coding	C1S	12	ENSP00000385035	38	168
207	ENSG00000185905	protein_coding	C16orf54	16	ENSP00000327506	38	169
208	ENSG00000172724	protein_coding	CCL19	9	ENSP00000308815	38	170
209	ENSG00000129667	protein_coding	RHBDF2	17	ENSP00000322775	38	171
210	ENSG00000157601	protein_coding	MX1	21	ENSP00000381601	38	172
211	ENSG00000121966	protein_coding	CXCR4	2	ENSP00000386884	38	173
212	ENSG00000070190	protein_coding	DAPP1	4	ENSP00000423602	38	174
213	ENSG00000151651	protein_coding	ADAM8	10	ENSP00000453302	38	175
214	ENSG00000121807	protein_coding	CCR2	3	ENSP00000292301	38	176
215	ENSG00000108691	protein_coding	CCL2	17	ENSP00000225831	39	176
216	ENSG00000041982	protein_coding	TNC	9	ENSP00000265131	39	177
217	ENSG00000185404	protein_coding	SP140L	2	ENSP00000397911	39	178
218	ENSG00000140379	protein_coding	BCL2A1	15	ENSP00000267953	39	179
219	ENSG00000104894	protein_coding	CD37	19	ENSP00000325708	39	180
220	ENSG00000135077	protein_coding	HAVCR2	5	ENSP00000312002	39	181
221	ENSG00000143851	protein_coding	PTPN7	1	ENSP00000309116	39	182
222	ENSG00000198821	protein_coding	CD247	1	ENSP00000354782	39	183
223	ENSG00000171608	protein_coding	PIK3CD	1	ENSP00000366563	39	184
224	ENSG00000015285	protein_coding	WAS	X	ENSP00000365891	39	185
225	ENSG00000164430	protein_coding	CGAS	6	ENSP00000359339	39	186
226	ENSG00000171848	protein_coding	RRM2	2	ENSP00000353770	39	187
227	ENSG00000198959	protein_coding	TGM2	20	ENSP00000355330	39	188
228	ENSG00000163131	protein_coding	CTSS	1	ENSP00000357981	39	189
229	ENSG00000128340	protein_coding	RAC2	22	ENSP00000249071	39	190
230	ENSG00000123609	protein_coding	NMI	2	ENSP00000243346	40	190
231	ENSG00000135074	protein_coding	ADAM19	5	ENSP00000257527	40	191
232	ENSG00000125910	protein_coding	S1PR4	19	ENSP00000246115	40	192
233	ENSG00000027869	protein_coding	SH2D2A	1	ENSP00000376123	40	193
234	ENSG00000071246	protein_coding	VASH1	14	ENSP00000167106	40	194
235	ENSG00000020633	protein_coding	RUNX3	1	ENSP00000382800	40	195
236	ENSG00000173369	protein_coding	C1QB	1	ENSP00000313967	40	196
237	ENSG00000134061	protein_coding	CD180	5	ENSP00000256447	40	197
238	ENSG00000143226	protein_coding	FCGR2A	1	ENSP00000271450	40	198
239	ENSG00000241839	protein_coding	PLEKHO2	15	ENSP00000326706	40	199
240	ENSG00000138180	protein_coding	CEP55	10	ENSP00000360540	40	200
241	ENSG00000174125	protein_coding	TLR1	4	ENSP00000354932	41	200
242	ENSG00000126709	protein_coding	IFI6	1	ENSP00000342513	41	201
243	ENSG00000163219	protein_coding	ARHGAP25	2	ENSP00000386911	41	202
244	ENSG00000089012	protein_coding	SIRPG	20	ENSP00000305529	41	203
245	ENSG00000119535	protein_coding	CSF3R	1	ENSP00000362195	42	203
246	ENSG00000126882	protein_coding	FAM78A	9	ENSP00000361345	42	204
247	ENSG00000139278	protein_coding	GLIPR1	12	ENSP00000266659	42	205
248	ENSG00000181847	protein_coding	TIGIT	3	ENSP00000419085	42	206
249	ENSG00000136689	protein_coding	IL1RN	2	ENSP00000259206	43	206
250	ENSG00000124201	protein_coding	ZNFX1	20	ENSP00000379412	43	207
251	ENSG00000169508	protein_coding	GPR183	13	ENSP00000365596	44	207
252	ENSG00000124256	protein_coding	ZBP1	20	ENSP00000360215	44	208
253	ENSG00000177575	protein_coding	CD163	12	ENSP00000352071	45	208
254	ENSG00000175463	protein_coding	TBC1D10C	11	ENSP00000443654	45	209
255	ENSG00000130303	protein_coding	BST2	19	ENSP00000252593	46	209
256	ENSG00000115267	protein_coding	IFIH1	2	ENSP00000263642	46	210
257	ENSG00000139193	protein_coding	CD27	12	ENSP00000266557	46	211
258	ENSG00000013810	protein_coding	TACC3	4	ENSP00000326550	46	212
259	ENSG00000124126	protein_coding	PREX1	20	ENSP00000361009	46	213
260	ENSG00000163359	protein_coding	COL6A3	2	ENSP00000295550	46	214
261	ENSG00000010671	protein_coding	BTK	X	ENSP00000483570	46	215
262	ENSG00000172716	protein_coding	SLFN11	17	ENSP00000378067	46	216
263	ENSG00000130508	protein_coding	PXDN	2	ENSP00000252804	46	217
264	ENSG00000054967	protein_coding	RELT	11	ENSP00000064780	46	218
265	ENSG00000160883	protein_coding	HK3	5	ENSP00000292432	46	219
266	ENSG00000115935	protein_coding	WIPF1	2	ENSP00000376330	46	220
267	ENSG00000066336	protein_coding	SPI1	11	ENSP00000227163	46	221
268	ENSG00000077238	protein_coding	IL4R	16	ENSP00000379111	47	221
269	ENSG00000119714	protein_coding	GPR68	14	ENSP00000434045	47	222
270	ENSG00000175489	protein_coding	LRRC25	19	ENSP00000340983	47	223
271	ENSG00000110719	protein_coding	TCIRG1	11	ENSP00000265686	47	224
272	ENSG00000196743	protein_coding	GM2A	5	ENSP00000349687	47	225
273	ENSG00000162711	protein_coding	NLRP3	1	ENSP00000337383	48	225
274	ENSG00000132514	protein_coding	CLEC10A	17	ENSP00000254868	48	226
275	ENSG00000161929	protein_coding	SCIMP	17	ENSP00000461269	48	227
276	ENSG00000170476	protein_coding	MZB1	5	ENSP00000303920	48	228
277	ENSG00000197629	protein_coding	MPEG1	11	ENSP00000354335	48	229
278	ENSG00000143546	protein_coding	S100A8	1	ENSP00000357722	48	230
279	ENSG00000242574	protein_coding	HLA-DMB	6	ENSP00000398890	48	231
280	ENSG00000119917	protein_coding	IFIT3	10	ENSP00000360883	48	232
281	ENSG00000168610	protein_coding	STAT3	17	ENSP00000264657	48	233
282	ENSG00000023892	protein_coding	DEF6	6	ENSP00000319831	48	234
283	ENSG00000159189	protein_coding	C1QC	1	ENSP00000363770	48	235
284	ENSG00000146192	protein_coding	FGD2	6	ENSP00000274963	48	236
285	ENSG00000115165	protein_coding	CYTIP	2	ENSP00000264192	48	237
286	ENSG00000005059	protein_coding	MCUB	4	ENSP00000378145	48	238
287	ENSG00000121594	protein_coding	CD80	3	ENSP00000264246	48	239
288	ENSG00000103222	protein_coding	ABCC1	16	ENSP00000382342	48	240
289	ENSG00000110077	protein_coding	MS4A6A	11	ENSP00000392770	48	241
290	ENSG00000162739	protein_coding	SLAMF6	1	ENSP00000357036	48	242
291	ENSG00000162654	protein_coding	GBP4	1	ENSP00000359490	48	243
292	ENSG00000148346	protein_coding	LCN2	9	ENSP00000362108	49	243
293	ENSG00000142227	protein_coding	EMP3	19	ENSP00000270221	50	243
294	ENSG00000160691	protein_coding	SHC1	1	ENSP00000401303	50	244
295	ENSG00000096996	protein_coding	IL12RB1	19	ENSP00000470788	50	245
296	ENSG00000130755	protein_coding	GMFG	19	ENSP00000472249	50	246
297	ENSG00000186074	protein_coding	CD300LF	17	ENSP00000462309	50	247
298	ENSG00000198851	protein_coding	CD3E	11	ENSP00000354566	50	248
299	ENSG00000134827	protein_coding	TCN1	11	ENSP00000257264	50	249
300	ENSG00000136514	protein_coding	RTP4	3	ENSP00000259030	51	249
301	ENSG00000198771	protein_coding	RCSD1	1	ENSP00000356828	51	250
302	ENSG00000167460	protein_coding	TPM4	19	ENSP00000345230	51	251
303	ENSG00000185201	protein_coding	IFITM2	11	ENSP00000484689	51	252
304	ENSG00000113088	protein_coding	GZMK	5	ENSP00000231009	51	253
305	ENSG00000173821	protein_coding	RNF213	17	ENSP00000464087	51	254
306	ENSG00000113532	protein_coding	ST8SIA4	5	ENSP00000231461	51	255
307	ENSG00000145649	protein_coding	GZMA	5	ENSP00000274306	51	256
308	ENSG00000064666	protein_coding	CNN2	19	ENSP00000263097	51	257
309	ENSG00000223865	protein_coding	HLA-DPB1	6	ENSP00000408146	51	258
310	ENSG00000153283	protein_coding	CD96	3	ENSP00000283285	51	259
311	ENSG00000115085	protein_coding	ZAP70	2	ENSP00000264972	51	260
312	ENSG00000100365	protein_coding	NCF4	22	ENSP00000380334	51	261
313	ENSG00000196611	protein_coding	MMP1	11	ENSP00000322788	51	262
314	ENSG00000188313	protein_coding	PLSCR1	3	ENSP00000345494	51	263
315	ENSG00000173372	protein_coding	C1QA	1	ENSP00000363773	51	264
316	ENSG00000122861	protein_coding	PLAU	10	ENSP00000361850	51	265
317	ENSG00000028277	protein_coding	POU2F2	19	ENSP00000431603	51	266
318	ENSG00000105374	protein_coding	NKG7	19	ENSP00000221978	51	267
319	ENSG00000023445	protein_coding	BIRC3	11	ENSP00000263464	51	268
320	ENSG00000155660	protein_coding	PDIA4	7	ENSP00000286091	51	269
321	ENSG00000204287	protein_coding	HLA-DRA	6	ENSP00000378786	51	270
322	ENSG00000132205	protein_coding	EMILIN2	18	ENSP00000254528	51	271
323	ENSG00000137265	protein_coding	IRF4	6	ENSP00000370343	51	272
324	ENSG00000187608	protein_coding	ISG15	1	ENSP00000368699	51	273
325	ENSG00000011422	protein_coding	PLAUR	19	ENSP00000339328	52	273
326	ENSG00000176788	protein_coding	BASP1	5	ENSP00000319281	52	274
327	ENSG00000073861	protein_coding	TBX21	17	ENSP00000177694	52	275
328	ENSG00000104998	protein_coding	IL27RA	19	ENSP00000263379	52	276
329	ENSG00000109805	protein_coding	NCAPG	4	ENSP00000251496	52	277
330	ENSG00000012223	protein_coding	LTF	3	ENSP00000231751	52	278
331	ENSG00000131378	protein_coding	RFTN1	3	ENSP00000334153	52	279
332	ENSG00000111331	protein_coding	OAS3	12	ENSP00000228928	52	280
333	ENSG00000130487	protein_coding	KLHDC7B	22	ENSP00000379034	52	281
334	ENSG00000135114	protein_coding	OASL	12	ENSP00000257570	52	282
335	ENSG00000174946	protein_coding	GPR171	3	ENSP00000308479	52	283
336	ENSG00000124508	protein_coding	BTN2A2	6	ENSP00000349143	52	284
337	ENSG00000153563	protein_coding	CD8A	2	ENSP00000386559	53	284
338	ENSG00000079931	protein_coding	MOXD1	6	ENSP00000356940	53	285
339	ENSG00000148773	protein_coding	MKI67	10	ENSP00000357643	53	286
340	ENSG00000169248	protein_coding	CXCL11	4	ENSP00000306884	54	286
341	ENSG00000166750	protein_coding	SLFN5	17	ENSP00000299977	54	287
342	ENSG00000234745	protein_coding	HLA-B	6	ENSP00000399168	54	288
343	ENSG00000113368	protein_coding	LMNB1	5	ENSP00000261366	54	289
344	ENSG00000196954	protein_coding	CASP4	11	ENSP00000388566	54	290
345	ENSG00000188820	protein_coding	CALHM6	6	ENSP00000357594	54	291
346	ENSG00000204262	protein_coding	COL5A2	2	ENSP00000364000	54	292
347	ENSG00000146232	protein_coding	NFKBIE	6	ENSP00000275015	54	293
348	ENSG00000163823	protein_coding	CCR1	3	ENSP00000296140	54	294
349	ENSG00000184584	protein_coding	STING1	5	ENSP00000331288	54	295
350	ENSG00000167895	protein_coding	TMC8	17	ENSP00000325561	54	296
351	ENSG00000186827	protein_coding	TNFRSF4	1	ENSP00000368538	54	297
352	ENSG00000140368	protein_coding	PSTPIP1	15	ENSP00000452746	54	298
353	ENSG00000167077	protein_coding	MEI1	22	ENSP00000384115	54	299
354	ENSG00000137965	protein_coding	IFI44	1	ENSP00000359783	54	300
355	ENSG00000111801	protein_coding	BTN3A3	6	ENSP00000244519	54	301
356	ENSG00000198286	protein_coding	CARD11	7	ENSP00000380150	54	302
357	ENSG00000180644	protein_coding	PRF1	10	ENSP00000398568	54	303
358	ENSG00000118503	protein_coding	TNFAIP3	6	ENSP00000481570	54	304
359	ENSG00000164111	protein_coding	ANXA5	4	ENSP00000296511	54	305
360	ENSG00000056558	protein_coding	TRAF1	9	ENSP00000362994	54	306
361	ENSG00000132530	protein_coding	XAF1	17	ENSP00000354822	54	307
362	ENSG00000125730	protein_coding	C3	19	ENSP00000245907	54	308
363	ENSG00000122224	protein_coding	LY9	1	ENSP00000263285	54	309
364	ENSG00000162692	protein_coding	VCAM1	1	ENSP00000294728	55	309
365	ENSG00000078589	protein_coding	P2RY10	X	ENSP00000171757	55	310
366	ENSG00000136490	protein_coding	LIMD2	17	ENSP00000259006	55	311
367	ENSG00000135604	protein_coding	STX11	6	ENSP00000356540	55	312
368	ENSG00000091106	protein_coding	NLRC4	2	ENSP00000385090	55	313
369	ENSG00000134871	protein_coding	COL4A2	13	ENSP00000353654	55	314
